"ID","Mscode","Year","Est. Code","Estimate","SE","Lower CIB","Upper CIB","Flag"
"d77e156a-fce1-426d-b30e-05950108c90e","MEASA","2008","_Proportion","14.5","1.1","13.4","15.6",""
"c559c742-eb58-43b3-8942-90652906d855","MEASA","2008","_ChangeInProportion","0.4","1.8","-1.3","2.2",""
"ea1e1ae2-331d-4886-ae72-43f0c0aedfb9","MEASA","2008","_ChangeInNumber","5.1","19.1","-14.0","24.2",""
"cd31ddcf-aef2-4870-ae1e-8149564399d1","MEASA","2008","_Population","1076.5","0.0","0.0","0.0",""
"58ed0c3b-b95f-42f8-a290-2dc2dde72cbd","MEASA","2009","_Proportion","14.0","1.1","12.8","15.1",""
"134ffb46-22e5-4ecc-8480-57c10dcc03c9","MEASA","2009","_ChangeInProportion","-0.5","1.5","-2.0","1.0",""
"0cbc9329-08da-481b-9f67-2b0838d6a6c8","MEASA","2009","_Number","150.6","12.3","138.4","162.9",""
"b2b347a2-356d-48df-81d9-a1a1a778789b","MEASA","2009","_ChangeInNumber","-5.3","16.3","-21.6","11.0",""
"85d8b3a0-90e9-4b3e-8942-0c1e69c8a286","MEASA","2009","_Population","1078.1","0.0","0.0","0.0",""
"77a8261d-dabb-44be-a961-e514f50536a1","MEASA","2010","_Proportion","14.1","1.3","12.8","15.4",""
"c038a3e8-2c3f-4173-a359-055ae9e60544","MEASA","2010","_ChangeInProportion","0.1","1.7","-1.6","1.8",""
"88b51e34-745a-42a4-afcc-82ad28d111b5","MEASA","2010","_Number","152.5","14.4","138.1","166.9",""
"4d06e003-e2e5-4900-8f3e-488786bcaf49","MEASA","2010","_ChangeInNumber","1.9","18.2","-16.3","20.1",""
"67d094a8-e7a9-4db7-a9dd-159976d50b84","MEASA","2010","_Population","1082.6","0.0","0.0","0.0",""
"a10643b4-9639-4e2e-be73-3efe28ae3c03","MEASA","2011","_Proportion","14.9","1.3","13.6","16.2",""
"65507eba-93f9-4ff7-abf6-a52ebb1f48bd","MEASA","2011","_ChangeInProportion","0.8","1.7","-0.9","2.5",""
"729d36a7-476a-45d0-9f77-8a334b05876b","MEASA","2011","_Number","161.9","13.9","148.0","175.8",""
"e66cebee-f79d-4f87-b161-224c45da1660","MEASA","2011","_ChangeInNumber","9.4","18.3","-8.9","27.7",""
"b718036e-8c4a-47f6-98e6-15e45eea7239","MEASA","2011","_Population","1086.9","0.0","0.0","0.0",""
"870e26e8-b074-448a-960c-5c8689b691f3","MEASA","2012","_Proportion","14.8","1.1","13.7","15.9",""
"99ca4b81-6af3-4507-ae30-68557319f521","MEASA","2012","_ChangeInProportion","-0.1","1.7","-1.8","1.7",""
"8dae87f3-0e96-4bae-a1c2-3ef9e600cc46","MEASA","2012","_Number","160.9","11.9","149.0","172.8",""
"edc1bad5-328e-47e8-8344-0addca83e12a","MEASA","2012","_ChangeInNumber","-1.0","18.8","-19.8","17.8",""
"1c9d3d5a-b9d9-49a9-9350-2ddc34ab7937","MEASA","2012","_Population","1085.9","0.0","0.0","0.0",""
"0ae1fb39-b6e5-46ee-92f4-8cf4c99e0f46","MEASA","2013","_Proportion","15.6","1.2","14.4","16.7",""
